object_id,camp_name,num_employee,employ_others,yes_employ_others,avg_customers,business_type,business_type_clothing,business_type_grocery,business_type_restaurant,business_type_craft,market_condition,market_security,market_depth,cash_food_local,outside_job,competition,income_compare,business_start,sell_food_assistance,sell_food_assistance_yes,customer_locations,customer_locations_camp_change,entrepreneurship_training,training_grow,training_grow_financing,training_grow_training,finances_care,finances_care_underbed,finances_care_remmitances,finances_care_mobile,finances_care_other_text,finances_care_other,business_leave_camp,leave_camp_support_business,id_problem_fequency,ibs,ibs_comm,ibs_saco,ibs_mobile,ibs_microloan,ibs_nobank,key_good_demand_change,x,y,household_money_supply
99,kigeme,1,noemploy,,20,general/grocery,FALSE,TRUE,FALSE,FALSE,poor,good,house,yes,no,five,decrease,1/26/2016,,,districtonly,no,no,training/financing,TRUE,TRUE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,yes,weekly,frequent,microloan,FALSE,FALSE,FALSE,TRUE,FALSE,no,29.52238,-2.48309,
100,kigeme,1,noemploy,,10,general,FALSE,FALSE,FALSE,FALSE,poor,good,daily,yes,no,five,remain,########,,,districtonly,no,no,training/financing,TRUE,TRUE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,yes,daily,frequent,mobile,FALSE,FALSE,TRUE,FALSE,FALSE,no,29.52241,-2.4831,
101,kigeme,1,noemploy,,15,other,FALSE,FALSE,FALSE,FALSE,poor,good,other,yes,no,five,decrease,1/17/2016,,,districtonly,no,yes,financing/training,TRUE,TRUE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,yes,daily,frequent,mobile,FALSE,FALSE,TRUE,FALSE,FALSE,no,29.51278,-2.49223,
102,kigeme,1,noemploy,,10,other,FALSE,FALSE,FALSE,FALSE,poor,good,house,yes,no,five,remain,8/21/2012,,,districtonly,yes,no,financing/training,TRUE,TRUE,underbed,TRUE,FALSE,FALSE,FALSE,,yes,weekly,frequent,microloan,FALSE,FALSE,FALSE,TRUE,FALSE,yes,29.51321,-2.49192,
103,kigeme,1,noemploy,,3,clothing,TRUE,FALSE,FALSE,FALSE,poor,average,house,yes,no,five,decrease,3/24/2014,,,districtonly,no,no,training,FALSE,TRUE,underbed,TRUE,FALSE,FALSE,FALSE,,yes,daily,frequent,microloan,FALSE,FALSE,FALSE,TRUE,FALSE,yes,29.52311,-2.48329,
104,kigeme,1,noemploy,,35,general/grocery,FALSE,TRUE,FALSE,FALSE,poor,good,house,yes,yes,five,increased,9/16/2012,,,districtonly,no,yes,training,FALSE,TRUE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,yes,weekly,frequent,microloan,FALSE,FALSE,FALSE,TRUE,FALSE,no,29.52284,-2.48856,
105,kigeme,6,yesfamily,2,14,general,FALSE,FALSE,FALSE,FALSE,poor,good,daily,yes,no,five,increased,2/29/2016,,,districtonly,no,yes,financing,TRUE,FALSE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,yes,weekly,frequent,mobile,FALSE,FALSE,TRUE,FALSE,FALSE,no,29.505,-2.49844,
106,kigeme,1,noemploy,,15,other,FALSE,FALSE,FALSE,FALSE,poor,good,daily,yes,no,five,increased,8/15/2013,,,districtonly,no,no,financing/training,TRUE,TRUE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,no,daily,frequent,microloan,FALSE,FALSE,FALSE,TRUE,FALSE,no,29.52239,-2.48702,
107,kigeme,3,yesfamily,3,60,general/grocery,FALSE,TRUE,FALSE,FALSE,poor,good,daily,yes,no,five,increased,6/30/2014,,,aroundcamp,no,yes,financing,TRUE,FALSE,underbed,TRUE,FALSE,FALSE,FALSE,,yes,daily,frequent,microloan,FALSE,FALSE,FALSE,TRUE,FALSE,no,29.50408,-2.49905,
108,kigeme,1,noemploy,,7,grocery/other,FALSE,TRUE,FALSE,FALSE,poor,good,daily,yes,no,five,remain,########,,,districtonly,no,no,financing/training,TRUE,TRUE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,no,weekly,frequent,mobile,FALSE,FALSE,TRUE,FALSE,FALSE,no,29.52254,-2.48605,
